ticker	interval	score	signal_date	breakthrough_date
QQQ	2h	3.66	2025-01-13 15:30:00	2025-01-15 09:30:00
MSFT	1h	3.2	2025-01-13 13:30:00	2025-01-15 09:30:00
QQQ	1h	3.2	2025-01-13 12:30:00	2025-01-15 09:30:00
TSLA	1h	3.76	2025-01-13 11:30:00	2025-01-13 15:30:00
AAPL	1h	3.34	2025-01-10 15:30:00	2025-01-15 09:30:00
AMZN	1h	3.46	2025-01-10 12:30:00	2025-01-15 09:30:00
TSLA	1h	3.61	2025-01-10 12:30:00	2025-01-13 15:30:00
AAPL	2h	3.86	2025-01-08 09:30:00	2025-01-27 09:30:00
NFLX	1h	3.48	2025-01-06 15:30:00	2025-01-15 09:30:00
SPY	3h	4.36	2025-01-03 09:30:00	2025-01-06 09:30:00
SPY	2h	3.84	2025-01-03 09:30:00	2025-01-03 13:30:00
QQQ	1h	3.25	2025-01-02 14:30:00	2025-01-03 10:30:00
SPY	1h	3.21	2025-01-02 14:30:00	2025-01-03 10:30:00
SPY	2h	3.9	2025-01-02 09:30:00	2025-01-03 13:30:00
QQQ	1h	3.53	2025-01-02 09:30:00	2025-01-03 10:30:00
SPY	1h	3.4	2025-01-02 09:30:00	2025-01-03 10:30:00
QQQ	1h	3.35	2024-12-31 14:30:00	2025-01-03 10:30:00
SPY	1h	3.33	2024-12-31 14:30:00	2025-01-03 10:30:00
AMZN	1h	3.3	2024-12-31 14:30:00	2025-01-02 09:30:00
MSFT	1h	3.31	2024-12-31 09:30:00	2025-01-06 09:30:00
SPY	1h	3.24	2024-12-31 09:30:00	2025-01-03 10:30:00
AMZN	1h	3.57	2024-12-31 09:30:00	2025-01-02 09:30:00
MSFT	1h	3.17	2024-12-30 13:30:00	2025-01-06 09:30:00
AMZN	1h	3.18	2024-12-30 12:30:00	2025-01-02 09:30:00
MSFT	1h	3.5	2024-12-27 15:30:00	2025-01-06 09:30:00
ABNB	1h	3.27	2024-12-19 14:30:00	2024-12-20 09:30:00
ABNB	1h	3.29	2024-12-19 12:30:00	2024-12-20 09:30:00
SPY	3h	4.42	2024-12-18 09:30:00	2024-12-24 09:30:00
SPY	2h	3.9	2024-12-18 09:30:00	2024-12-24 09:30:00
SPY	1h	3.34	2024-12-18 09:30:00	2024-12-24 09:30:00
ABNB	3h		2024-12-06 09:30:00	2024-12-09 09:30:00
