ticker	date	intervals	signal_price	current_price	current_time	nx_1d
FNGB	2025-06-06	2,3,4	21.39	25.29	2025-07-29 00:00:00	True
PANW	2025-06-06	1,2,3,4	199.55	193.84	2025-07-29 00:00:00	True
SE	2025-06-06	1,2,3,4	165.32	160.46	2025-07-29 00:00:00	True
APP	2025-06-05	1,2,3	411.77	361.63	2025-07-29 00:00:00	True
CLS	2025-06-05	1,2,3	119.51	202.0	2025-07-29 00:00:00	True
COST	2025-06-05	2,3,4	1016.97	934.57	2025-07-29 00:00:00	True
FNGB	2025-06-05	2,3,4	21.03	25.29	2025-07-29 00:00:00	True
LULU	2025-06-05	2,3,4	329.6	214.04	2025-07-29 00:00:00	False
NVDA	2025-06-05	1,2,3,4	139.95	175.51	2025-07-29 00:00:00	True
OPFI	2025-06-05	1,2,3,4	13.54	10.88	2025-07-29 00:00:00	True
PANW	2025-06-05	2,3,4	196.94	193.84	2025-07-29 00:00:00	True
QQQ	2025-06-05	1,2,3,4	524.7	567.26	2025-07-29 00:00:00	True
SBUX	2025-06-05	2,3,4	87.0	92.96	2025-07-29 00:00:00	False
SPY	2025-06-05	1,2,3,4	593.0	635.26	2025-07-29 00:00:00	True
TQQQ	2025-06-05	1,2,3,4	72.13	89.38	2025-07-29 00:00:00	True
VRT	2025-06-05	2,3,4	112.22	142.7	2025-07-29 00:00:00	True
VST	2025-06-05	1,2,4	171.73	198.0	2025-07-29 00:00:00	True
XYZ	2025-06-05	1,2,3,4	63.62	78.18	2025-07-29 00:00:00	False
BA	2025-06-04	1,2,3,4	211.98	226.08	2025-07-29 00:00:00	True
CRWD	2025-06-04	1,2,4	462.13	465.51	2025-07-29 00:00:00	True
MSFT	2025-06-04	1,2,3	463.89	512.57	2025-07-29 00:00:00	True
PLTR	2025-06-04	2,3,4	129.65	156.24	2025-07-29 00:00:00	True
APP	2025-06-03	1,2,3	398.33	361.63	2025-07-29 00:00:00	True
SOL	2025-06-02	2,3,4	1.71	1.91	2025-07-29 00:00:00	False
AVGO	2025-05-30	1,2,3	236.89	297.42	2025-07-29 00:00:00	True
NVDA	2025-05-30	1,2,3	136.1	175.51	2025-07-29 00:00:00	True
OPFI	2025-05-30	1,2,3,4	12.53	10.88	2025-07-29 00:00:00	True
XYZ	2025-05-30	1,2,3	61.31	78.18	2025-07-29 00:00:00	False
APP	2025-05-29	1,2,3	384.39	361.63	2025-07-29 00:00:00	True
OPFI	2025-05-29	1,2,3	12.75	10.88	2025-07-29 00:00:00	True
QMCO	2025-05-29	1,2,3,4	12.86	7.88	2025-07-29 00:00:00	False
SOL	2025-05-29	1,2,3,4	1.68	1.91	2025-07-29 00:00:00	False
TSLA	2025-05-29	1,2,3	358.15	321.2	2025-07-29 00:00:00	True
VRT	2025-05-29	1,2,3	108.61	142.7	2025-07-29 00:00:00	True
LUNR	2025-05-28	1,2,3	12.22	11.75	2025-07-29 00:00:00	False
SERV	2025-05-28	1,2,3	12.65	10.34	2025-07-29 00:00:00	True
SOL	2025-05-28	1,2,3	1.62	1.91	2025-07-29 00:00:00	False
TSLA	2025-05-28	1,2,3	356.92	321.2	2025-07-29 00:00:00	True
VST	2025-05-28	1,2,3	162.36	198.0	2025-07-29 00:00:00	True
CLS	2025-05-27	1,2,3,4	119.72	202.0	2025-07-29 00:00:00	True
QUBT	2025-05-27	1,2,3	12.98	15.37	2025-07-29 00:00:00	True
BTC	2025-05-23	1,2,3	48.2	52.04	2025-07-29 00:00:00	True
CLS	2025-05-23	1,2,3	119.45	202.0	2025-07-29 00:00:00	True
IBIT	2025-05-23	1,2,3	61.83	66.71	2025-07-29 00:00:00	True
SERV	2025-05-23	1,2,3	11.34	10.34	2025-07-29 00:00:00	False
BTC	2025-05-22	1,2,3	49.28	52.04	2025-07-29 00:00:00	True
CLSK	2025-05-22	2,3,4	10.03	11.73	2025-07-29 00:00:00	False
GOOGL	2025-05-22	1,2,3,4	172.42	195.75	2025-07-29 00:00:00	False
XIACY	2025-05-22	2,3,4	34.28	34.78	2025-07-29 00:00:00	True
XPEV	2025-05-22	2,3,4	20.64	18.4	2025-07-29 00:00:00	True
BTC	2025-05-21	1,2,3	47.51	52.04	2025-07-29 00:00:00	True
COST	2025-05-21	2,3,4	1025.73	934.57	2025-07-29 00:00:00	True
GOOGL	2025-05-21	1,2,3,4	168.55	195.75	2025-07-29 00:00:00	False
U	2025-05-21	1,2,3,4	21.33	32.54	2025-07-29 00:00:00	False
GOOGL	2025-05-20	2,3,4	164.0	195.75	2025-07-29 00:00:00	False
U	2025-05-20	1,2,3	22.12	32.54	2025-07-29 00:00:00	False
AAPL	2025-05-19	2,3,4	208.93	211.27	2025-07-29 00:00:00	False
BILI	2025-05-19	1,2,3	18.09	22.44	2025-07-29 00:00:00	False
GOOGL	2025-05-19	1,2,3	165.29	195.75	2025-07-29 00:00:00	False
PHUN	2025-05-19	1,2,3,4	3.03	2.91	2025-07-29 00:00:00	False
PLTR	2025-05-19	2,3,4	126.19	156.24	2025-07-29 00:00:00	True
RGTI	2025-05-19	1,2,3	11.74	14.47	2025-07-29 00:00:00	True
U	2025-05-19	1,2,3	21.81	32.54	2025-07-29 00:00:00	False
ASTS	2025-05-16	1,2,3	26.66	53.09	2025-07-29 00:00:00	True
GME	2025-05-16	2,3,4	28.46	22.55	2025-07-29 00:00:00	True
PLTR	2025-05-16	1,2,3,4	128.23	156.24	2025-07-29 00:00:00	True
BABA	2025-05-15	1,2,3	123.59	119.36	2025-07-29 00:00:00	True
CLSK	2025-05-15	2,3,4	9.4	11.73	2025-07-29 00:00:00	False
DXYZ	2025-05-15	1,2,3	41.26	30.73	2025-07-29 00:00:00	False
GOOGL	2025-05-15	1,2,3	162.66	195.75	2025-07-29 00:00:00	False
PHUN	2025-05-15	2,3,4	3.02	2.91	2025-07-29 00:00:00	False
PLTR	2025-05-15	1,2,3	127.04	156.24	2025-07-29 00:00:00	True
RDDT	2025-05-15	1,2,3,4	115.48	144.85	2025-07-29 00:00:00	False
RGTI	2025-05-15	1,2,3	11.41	14.47	2025-07-29 00:00:00	True
RIVN	2025-05-15	1,2,3	15.12	13.06	2025-07-29 00:00:00	True
XPEV	2025-05-15	1,2,3	20.43	18.4	2025-07-29 00:00:00	True
BABA	2025-05-14	1,2,3	133.01	119.36	2025-07-29 00:00:00	True
BILI	2025-05-14	2,3,4	18.17	22.44	2025-07-29 00:00:00	False
BTC	2025-05-14	2,3,4	45.85	52.04	2025-07-29 00:00:00	True
IBIT	2025-05-14	2,3,4	58.85	66.71	2025-07-29 00:00:00	True
PHUN	2025-05-14	1,2,3	3.12	2.91	2025-07-29 00:00:00	False
SOFI	2025-05-14	2,3,4	14.05	22.4	2025-07-29 00:00:00	False
UPST	2025-05-14	2,3,4	51.28	80.43	2025-07-29 00:00:00	False
XPEV	2025-05-14	1,2,3	20.68	18.4	2025-07-29 00:00:00	True
BABA	2025-05-13	1,2,3	131.62	119.36	2025-07-29 00:00:00	True
PANW	2025-05-13	1,2,3	191.91	193.84	2025-07-29 00:00:00	True
TIGR	2025-05-13	1,2,3	9.98	9.82	2025-07-29 00:00:00	True
BTC	2025-05-12	1,2,3,4	45.12	52.04	2025-07-29 00:00:00	True
IBIT	2025-05-12	1,2,3,4	57.87	66.71	2025-07-29 00:00:00	True
MSTR	2025-05-12	1,2,3,4	407.28	394.66	2025-07-29 00:00:00	True
AFRM	2025-05-09	2,3,4	47.04	67.96	2025-07-29 00:00:00	False
AMD	2025-05-09	1,2,3	102.83	177.44	2025-07-29 00:00:00	False
AVGO	2025-05-09	1,2,3	207.33	297.42	2025-07-29 00:00:00	False
DELL	2025-05-09	2,3,4	95.96	133.51	2025-07-29 00:00:00	False
LULU	2025-05-09	1,2,3	281.16	214.04	2025-07-29 00:00:00	False
MSTR	2025-05-09	1,2,3	410.86	394.66	2025-07-29 00:00:00	True
SNOW	2025-05-09	1,2,3	173.27	218.76	2025-07-29 00:00:00	True
SOUN	2025-05-09	1,2,3	9.05	10.69	2025-07-29 00:00:00	False
TQQQ	2025-05-09	1,2,4	58.73	89.38	2025-07-29 00:00:00	False
AMD	2025-05-08	1,2,3	101.69	177.44	2025-07-29 00:00:00	False
CLS	2025-05-08	1,2,3,4	96.32	202.0	2025-07-29 00:00:00	False
CRM	2025-05-08	1,2,3	279.79	267.39	2025-07-29 00:00:00	False
CLS	2025-05-07	1,2,3,4	94.49	202.0	2025-07-29 00:00:00	False
CLS	2025-05-06	1,2,3,4	92.1	202.0	2025-07-29 00:00:00	False
UPST	2025-05-06	1,2,3	50.51	80.43	2025-07-29 00:00:00	False
WMT	2025-05-06	2,3,4	98.52	98.33	2025-07-29 00:00:00	True
ACHR	2025-05-05	1,2,3	8.91	10.19	2025-07-29 00:00:00	True
AFRM	2025-05-05	1,2,3	52.6	67.96	2025-07-29 00:00:00	False
CLS	2025-05-05	1,2,3	92.34	202.0	2025-07-29 00:00:00	False
CRWD	2025-05-05	1,2,3	443.68	465.51	2025-07-29 00:00:00	True
DIS	2025-05-05	1,2,3	92.14	119.91	2025-07-29 00:00:00	False
MARA	2025-05-05	1,2,3	12.89	16.61	2025-07-29 00:00:00	False
MU	2025-05-05	1,2,3	80.42	111.96	2025-07-29 00:00:00	False
NBIS	2025-05-05	1,2,3	24.15	50.4	2025-07-29 00:00:00	False
OXY	2025-05-05	1,2,3	39.35	45.46	2025-07-29 00:00:00	False
PLTR	2025-05-05	1,2,3	124.38	156.24	2025-07-29 00:00:00	True
QBTS	2025-05-05	1,2,3	7.32	17.67	2025-07-29 00:00:00	True
RKLB	2025-05-05	1,2,4	22.63	43.79	2025-07-29 00:00:00	True
SERV	2025-05-05	1,2,3	6.47	10.34	2025-07-29 00:00:00	False
TEM	2025-05-05	1,2,3	54.04	58.29	2025-07-29 00:00:00	False
AMZN	2025-05-02	1,2,3	190.0	231.01	2025-07-29 00:00:00	False
ETH	2025-05-02	1,2,3	17.34	35.45	2025-07-29 00:00:00	False
ETHA	2025-05-02	1,2,3	13.94	28.49	2025-07-29 00:00:00	False
MSTR	2025-05-01	1,2,3	381.7	394.66	2025-07-29 00:00:00	True
ONC	2025-05-01	1,2,3	256.05	305.74	2025-07-29 00:00:00	True
MCD	2025-04-25	1,2,4	315.94	302.67	2025-07-29 00:00:00	True
WMT	2025-04-25	1,2,3,4	94.88	98.33	2025-07-29 00:00:00	True
MCD	2025-04-24	1,2,4	314.95	302.67	2025-07-29 00:00:00	True
CLS	2025-04-22	1,2,3	82.77	202.0	2025-07-29 00:00:00	False
COST	2025-04-21	1,2,3	960.96	934.57	2025-07-29 00:00:00	False
MCD	2025-04-04	1,2,3	311.92	302.67	2025-07-29 00:00:00	True
RIVN	2025-04-02	1,2,3	12.57	13.06	2025-07-29 00:00:00	False
BABA	2025-03-18	2,3,4	142.74	119.36	2025-07-29 00:00:00	True
XPEV	2025-03-12	1,2,3,4	25.08	18.4	2025-07-29 00:00:00	True
ASTS	2025-03-10	2,3,4	29.17	53.09	2025-07-29 00:00:00	True
XPEV	2025-03-10	1,2,3,4	22.97	18.4	2025-07-29 00:00:00	True
LLY	2025-03-04	1,2,3,4	913.95	762.95	2025-07-29 00:00:00	True
LLY	2025-02-27	1,2,3,4	905.37	762.95	2025-07-29 00:00:00	True
LLY	2025-02-26	1,2,3	909.16	762.95	2025-07-29 00:00:00	True
ONC	2025-02-26	1,2,3,4	258.73	305.74	2025-07-29 00:00:00	True
ONC	2025-02-25	1,2,3	259.75	305.74	2025-07-29 00:00:00	True
LI	2025-02-24	1,2,3,4	26.36	27.38	2025-07-29 00:00:00	True
LLY	2025-02-24	1,2,3	882.0	762.95	2025-07-29 00:00:00	True
XPEV	2025-02-24	1,2,3,4	18.11	18.4	2025-07-29 00:00:00	True
LLY	2025-02-21	1,2,3	874.0	762.95	2025-07-29 00:00:00	True
XPEV	2025-02-21	1,2,3	18.44	18.4	2025-07-29 00:00:00	True
XPEV	2025-02-20	1,2,3	17.58	18.4	2025-07-29 00:00:00	True
SNOW	2025-02-19	1,2,3	189.03	218.76	2025-07-29 00:00:00	True
ASTS	2025-02-18	1,2,3	31.29	53.09	2025-07-29 00:00:00	True
BA	2025-02-18	1,2,3	184.86	226.08	2025-07-29 00:00:00	True
BA	2025-02-14	1,2,3	183.88	226.08	2025-07-29 00:00:00	True
PANW	2025-02-14	1,2,3	193.65	193.84	2025-07-29 00:00:00	True
SNOW	2025-02-14	1,2,3	187.05	218.76	2025-07-29 00:00:00	True
WMT	2025-02-14	1,2,3	104.3	98.33	2025-07-29 00:00:00	True
XIACY	2025-02-13	1,2,3,4	27.11	34.78	2025-07-29 00:00:00	True
CRWD	2025-02-12	1,2,3	434.71	465.51	2025-07-29 00:00:00	True
QQQ	2025-02-12	1,2,3	528.31	567.26	2025-07-29 00:00:00	True
SHOP	2025-02-12	1,2,3	120.43	124.85	2025-07-29 00:00:00	True
XIACY	2025-02-12	1,2,3,4	28.59	34.78	2025-07-29 00:00:00	True
APP	2025-02-11	2,3,4	373.73	361.63	2025-07-29 00:00:00	True
CRWD	2025-02-11	1,2,3	431.88	465.51	2025-07-29 00:00:00	True
QQQ	2025-02-11	1,2,3	527.95	567.26	2025-07-29 00:00:00	True
XIACY	2025-02-11	1,2,3,4	27.55	34.78	2025-07-29 00:00:00	True
CRWD	2025-02-10	1,2,3	426.52	465.51	2025-07-29 00:00:00	True
OKLO	2025-02-10	1,2,3	54.17	71.01	2025-07-29 00:00:00	True
SHOP	2025-02-10	1,2,3,4	119.33	124.85	2025-07-29 00:00:00	True
APP	2025-02-07	1,2,3,4	375.73	361.63	2025-07-29 00:00:00	True
CRWD	2025-02-07	1,2,3	420.52	465.51	2025-07-29 00:00:00	True
AFRM	2025-02-06	1,2,3	61.28	67.96	2025-07-29 00:00:00	True
